#class tools::wcsv::ntuple
#title Deposited energy
#separator 44
#vector_separator 59
#column double Generated
#column double Layer1
#column double Layer2
#column double Layer3
#column double Layer4
#column double Layer5
1700,307.357,411.77,154.498,56.696,25.1528
1900,656.419,360.837,165.207,74.5342,13.6776
100,53.4354,22.954,0,0,0
300,136.554,23.0656,17.0669,0,0
500,251.029,59.5714,16.9409,5.90077,13.2051
700,421.398,45.3963,17.4862,1.69098,4.70835
900,185.591,248.28,110.211,13.9956,2.80418
1100,205.375,298.447,149.948,60.6973,1.87003
1300,92.3296,570.321,123.236,19.7584,10.3395
1500,329.384,488.036,184.538,17.5343,11.2324
1700,399.632,496.804,91.4637,32.3402,12.3049
1900,542.685,519.299,65.0922,32.4241,5.67989
100,33.3062,1.01604,0,0,0
300,210.652,4.76847,16.5264,0,0
500,228.874,43.0025,18.3157,0.586771,1.00757
700,210.365,124.096,47.3552,7.16404,5.36891
900,348.64,133.615,36.7926,30.9921,0
1100,240.329,233.595,71.8262,14.2342,11.3701
1300,28.2841,172.103,455.458,97.5493,20.6901
1500,122.095,455.34,118.936,33.7719,24.4959
1700,361.184,417.127,134.009,109.042,29.4959
1900,229.186,558.761,197.007,34.79,4.9439
100,72.2266,0.564597,0,1.85314,0
300,107.559,24.9058,2.08949,10.0722,1.80503
500,152.398,88.139,37.7646,7.41522,0
700,207.349,127.62,67.7265,2.88512,0.886233
900,284.013,110.833,141.445,15.3358,0
1100,452.996,185.609,46.0888,29.9138,2.32315
1300,246.634,275.03,205.63,57.7309,8.61322
1500,347.787,430.577,88.0881,37.191,8.12171
1700,379.885,472.594,124.347,121.137,13.1487
1900,351.938,374.433,347.05,173.162,33.1871
100,41.0769,7.05504,18.5765,0,0
300,133.136,38.492,3.45038,2.00784,3.28273
500,115.888,38.7643,55.681,47.715,0
700,353.052,64.388,43.5311,5.00691,0
900,159.96,258.825,116.498,13.8054,0
1100,210.565,296.194,148.554,60.5715,5.53302
1300,370.865,361.199,53.7013,12.777,1.6886
1500,161.377,515.833,140.485,20.9374,21.8038
1700,315.604,488.028,200.467,76.3485,6.57207
